TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
114731:36	i've heard that people that *t*-1 finally learn how * to use it *t*-2 really like it.	"###that's something 0 we want *-1 to learn *t*-2.###speakera61.###yeah,###it's really,###i love lotus.###speakerb62.###oh.###speakera63.###i think 0 that's about my favorite.###speakerb64."	how	how * to use it *t*-2	i've heard that people that *t*-1 finally learn  really like it 	.	"I've heard that, people that finally learn how they should use it, really like it."	"I've heard that, people that finally learn how they could use it, really like it."
20272:87	"it seems *-2 to say, 0 i'll tax them if you can't get enough money, instead of *-3 trying *-1 to figure out how * to cut budgets or cut spending or, or, you know, get all of the waste out of the spending *t*-4."	"###speakerb4.###i have *-1 to agree that.###speakera5.###yeah.###speakerb6.###and you're right.### we, i mean, we, you know, we do have a good government.###we do have a lot of things that, you know, that, you know, the taxes are there * to support *t*-1,###but i do think 0 they're mismanaged###and i think that sometimes it's too easy of a, i don't know, to easy of an answer."	how	"how * to cut budgets or cut spending or, or, you know, get all of the waste out of the spending *t*-4"	"it seems *-2 to say, 0 i'll tax them if you can't get enough money, instead of *-3 trying *-1 to figure out  "	.	"It seems to say, I'll tax them if you can't get enough money, instead of trying to figure out how they should cut budgets or cut spending or, you know, get all of the waste out of the spending."	"It seems to say, I'll tax them if you can't get enough money, instead of trying to figure out how they could cut budgets or cut spending or, you know, get all of the waste out of the spending."
14735:59	"and we're just really, uh, uh, now, trying *-1 to, uh, figure out how * to cope with the problem *t*-3 because it has grown so huge."	"###well, but you know, the, the strange thing, uh, perhaps, not strange, but something that many people don't realize *t*-1, is that you can go back as far as nineteen fifty-one and fifty-two and find that there were drug dealers at that time trying *-2 to influence the high school kids,###because, uh, i'm a retired educator.###speakera51.###okay.###speakerb52.###and, in fifty-one and fifty-two, the police came to the high school where i was *t*-1 and were telling us how * to recognize when kids were on drugs *t*-2 *t*-3, how * to recognize the pushers outside the one entrance, that they were giving their drugs away in order *-4 to get the kids started * *t*-5, and so on, and so on.###speakera53.###yeah.###speakerb54.###so it's a problem that *t*-1's been around for over forty years,"	how	how * to cope with the problem *t*-3	"and we're just really, uh, uh, now, trying *-1 to, uh, figure out  because it has grown so huge "	.	We're just really trying to figure out how we should cope with the problem because it has grown so huge.	We're just really trying to figure out how we could cope with the problem because it has grown so huge.
151728:33	"so i, i kind of know how * to do these things *t*-1."	"###speakera10.###oh.###speakerb11.###and i brought a lot of family together then.###speakera12.###uh-huh.###and how did you feel 0 it went *t*-1?###speakerb13.###it went pretty good.### i'm, i've worked in hotels,"	how	how * to do these things *t*-1	"so i, i kind of know  "	.	I kind of know how I should do these things .	I kind of know how I could do these things .
31283:31	"and they are telling that they don't know how * to read *t*-1, you know."	"###and, you know, they can get a, they can grasp the points.###can they convey the data verbally or in writing.###and that's what *t*-1's, you know, really scary to me.###uh, i would really, you know,###there's such a, a push among young mothers these days *-1 to make * sure 0 their child is computer literate.###i would really think that they should be stressing more can the kid write a thought and at an early age.###and if they can't *?*, i mean if they have missed that training, then somebody, you know, before you're, you're start *-4 penalizing them with bad grades for *-2 not being able *-3 to communicate what they're thinking *t*-1, teach them these basic skills.###speakerb77.###yeah.###it *exp*-1's pretty sad * to think, uh, about those who, even today, *t*-2 are graduating from school"	how	how * to read *t*-1	"and they are telling that they don't know , you know "	.	"They are telling that they don't know how they should read, you know."	"They are telling that they don't know how they could read, you know."
48339:27	"but i think that if i learn how *-1 to use one *t*-2, i would, i would feel better."	"###oh, jeez.###speakerb42.###and so that was really the only experience *ich*-2 that i've had *t*-1 with guns###and it, it kind of scared me.###speakera43.###right.###speakerb44.###speakera45.###uh-huh.###speakerb46."	how	how *-1 to use one *t*-2	"but i think that if i learn , i would, i would feel better "	.	"I think that if i learn how I should use one, I would feel better."	"I think that if I learn how I could use one, I would feel better."
34142:114	"even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3."	"###i think that, that the gun clubs serve a useful purpose.###in fact, i'd like *-1 to see 0 somehow they tie the legislation into not only when you buy a weapon *t*-2 you have * to, uh, show that you've gone to school or gone to some class * to know how * to handle that weapon *t*-3.###speakera67.###that's a good,###i've never thought of that.###speakerb68.###speakera69.###that's a good point.###speakerb70.###and, you know, it, it,"	how	how * to drive *t*-3	"even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know  "	.	It's just like putting someone in an automobile that doesn't know how they should drive.	It's just like putting someone in an automobile that doesn't know how they could drive.
31157:19	"and even if i knew how * to teach the subject matter *t*-1, i don't know if i'd know how * to handle that kind of a, a group of kids *t*-2."	"###i don't know anything about it.###speakerb31.###that's pretty interesting because just, just because you know a subject matter doesn't mean 0 you can teach it.###speakera32.###speakerb33.###speakera34.###right.###speakerb35.###speakera36.###right."	how	how * to teach the subject matter *t*-1	"and even if i knew , i don't know if i'd know how * to handle that kind of a, a group of kids *t*-2 "	.	"Even if I knew how I should teach the subject matter,  I don't know if i'd know how to handle that kind of a group of kids."	"Even if I knew how I could teach the subject matter,  I don't know if i'd know how to handle that kind of a group of kids."
107569:49	"so i kind of know how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3"	"###have you *?*?###speakerb2.###um, actually i have, um, i've, i've been in them but, um, * just visiting###and, uh, we used *-1 to g-,###when we were like in, in our teen ages *t*-2 we'd go on sundays and visit, you know, the older people.###but, um, i have an elderly grandma that *t*-1 lives with us.###speakera3.###uh-huh.###speakerb4.###and she's lived with us for like five years."	how	"how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3"	so i kind of kno 	w	I kind of know how you should decide if you want to put somebody in a rest home.	I kind of know how you could decide if you want to put somebody in a rest home.
57302:38	"but now i've, i've learned how *-1 to sew *t*-2,"	"###boy i have *-1 to, hunt them down.###speakera65.### sh-, she'll buy a lot of, sh-, yeah, she'll buy a lot clothes, at the end of seasons, you know, and, uh, just have them for the next year.###speakerb66.###speakera67.###speakerb68.###uh-huh.###speakera69.###and she, you know, she finds all the outlets and all the discount places and, uh, buys clothes.###uh, whe-, you know, when they were coming up *t*-1, i, i didn't sew,"	how	how *-1 to sew *t*-2	but now i've  i've learned  	","	But now I've learned how I should sew it.	But now I've learned how I could sew it.
