TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
6397:23:00	"so, i really don't know <b>how * to compare it to other big companies</b> *t*-1, you know."	"###that's right.###well, you know, i, you know, i offers some good stuff###and then i think 0 there's, i mean i think 0 there's some negatives,###but there's going *-1 to be some negatives anywhere, you know, no matter where you go *t*-2.###i have, you know, all,###this is the first really large company 0 i've worked for *t*-1.###i've always been involved in little small, you know, ind-, privately owned s-, owned firms###and so i've never had the, the big benefit package."	how	how * to compare it to other big companies *t*-1	"so, i really don't know , you know "	.	"I really don't know how I <b>should</b> compare it to other big companies, you know."	"I really don't know how I <b>could</b> compare it to other big companies, you know."
19512:11	nobody knows <b>what * to do</b> *t*-1.	"###well, uh, i, i guess, 0 what they'd have *-1 to do *t*-2 * to,###i really don't know, you know,### in, in the, in, you know,###i hope that what *t*-1's happening is exactly the way 0 it appears *t*-2.###speakera105.###uh-huh.###speakerb106.###you know, some reason or other, you know, is, uh,###it *exp*-2's kind of a strange thing 0 we've been trying *-1 to make something like this happen for so long that when it finally happens *t*-3 you say, whoa, * wait a minute,###speakera107."	what	what * to do *t*-1	nobody knows  	.	Nobody knows what they <b>should</b> do.	Nobody knows what they <b>could</b> do.
25772:55	any novice can pick up a club and learn how * to hold one *t*-1 and learn <b>how * to do it</b> *t*-2 and do it right.	"###speakerb118.###speakera119.###yeah,###and it's, you know, it's a game that you don't,###like bowling, you know, you feel bad if you bowl a hundred.###but if you shoot a hundred in golf, you know,###you don't have *-1 to be an expert *-1 to play,###speakerb120.###that's right.###speakera121."	how	how * to do it *t*-2	any novice can pick up a club and learn how * to hold one *t*-1 and learn  and do it right 	.	Any novice can pick up a club and learn how to hold one and learn how they <b>should</b> do it and do it right.	Any novice can pick up a club and learn how to hold one and learn how they <b>could</b> do it and do it right.
26848:18	"but they don't know <b>where * to go</b> *t*-1 *-2 to, to, to do anything."	"###yeah.###speakerb103.###and you, you give them your speech and maybe a little slide show or something,###speakera104.###uh-huh.###speakerb105.###and, i think, that they could get some results from that, because there are a lot of people who *t*-1 are volunteer and community minded,###speakera106.###right.###speakerb107."	where	"where * to go *t*-1 *-2 to, to, to do anything"	but they don't know  	.	"They don't know where they <b>should</b> go to, to, to do anything."	"They don't know where they <b>could</b> go to, to, to do anything."
45170:26	but i want *-1 to show him <b>how * to use it</b> *t*-3 so that he'll be able *-2 to vote.	"###well then i realized it###so when we went and voted the next time *t*-1, i asked the, uh, lady,###i said i want my son to come in with me###and she said well, uh, why, you know.###he'll have *-1 to come back out.###i said because i want him to know how * to use one of these *t*-2###speakerb126.###right.###speakera127.###and i said, i won't turn any of the buttons down"	how	how * to use it *t*-3	but i want *-1 to show him  so that he'll be able *-2 to vote 	.	I want to show him how he <b>should</b> use it so that he'll be able to vote.	I want to show him how he <b>could</b> use it so that he'll be able to vote.
46764:31	"i, i'm not sure <b>how *-1 to explain it</b> *t*-2."	"###speakerb48.###uh-huh.###speakera49.###speakerb50.###uh-huh.###speakera51.###i don't like those styles, um,###the m p v is more of, uh, uh, just, uh, i don't know what you, normal-,###i don't know how *-2 to explain *t*-1,###more of an old fashioned type."	how	how *-1 to explain it *t*-2	i  i'm not sure  	","	I'm not sure how I <b>should</b> explain it.	I'm not sure how I <b>could</b> explain it.
62250:48	"or, you know, * to find a job where they can learn <b>how * to support themselves</b> *t*-1 *t*-2."	"###speakerb102.###but.###speakera103.###they're not going *-1 to take that money 0 you give them *t*-2 and go *-3 try *-4 to figure out a way 0 * to dry out with it *t*-5.###now * come on, let's be realistic,###speakerb104.###yeah.###speakera105.###that's just not realistic.###speakerb106."	how	how * to support themselves *t*-1	or  you know  * to find a job where they can learn  *t*-2 	","	"Or, you know, to find a job where they can learn how they <b>should</b> support themselves."	"Or, you know, to find a job where they can learn how they <b>could</b> support themselves."
87943:11	she knows <b>how * to twist this around</b> *t*-1.	"###speakera55.###yeah,###and she's rich###and she,###yeah,###so.###speakerb56.###mumblex she's smart at what she does *t*-1.###she knows how * to do that *t*-1.###speakera57."	how	how * to twist this around *t*-1	she knows  	","	She knows how she <b>should</b> twist this around.	She knows how she <b>could</b> twist this around.
105042:18	i remember *-1 learning <b>how * to ski</b> *t*-2.	"###and if you didn't obey them, uh you know, there were a lot of accidents, i guess.###speakera3.###right.###speakerb4.###speakera5.###that's true.###speakerb6.###but, uh, i found 0 the motor boating was real fun.###speakera7.###yeah,"	how	how * to ski *t*-2	i remember *-1 learning   oh 	","	I remember learning how I <b>should</b> ski.	I remember learning how I <b>could</b> ski.
109227:56	you need *-1 to get into the the system a little more and know <b>where * to take things</b> *t*-2.	"###well,###speakerb8.###but, uh it's working up to a year now,###speakera9.###yeah.###speakerb10.###so, i guess 0 we're old timers compared to some people.###speakera11.###yeah,###i think 0 that's a good excuse."	where	where * to take things *t*-2	you need *-1 to get into the the system a little more and know  	.	You need to get into the the system a little more and know where you <b>should</b> take things.	You need to get into the the system a little more and know where you <b>could</b> take things.
112241:25	and my kids wanted *-1 to learn <b>how * to play it</b> *t*-2	"###speakera35.###have you *?*?###speakerb36.###i've never actually, never actually played it.###but,###speakera37.###well, it's really fun.###um, one of my neighbors moved here from memphis###and a lot of them played it,###and she started a group going in the neighborhood"	how	how * to play it *t*-2	a d my kids wa ted *-1 to lear 	n	My kids wanted to learn how they <b>should</b> play it.	My kids wanted to learn how they <b>could</b> play it.
114738:50	and i know 0 there's still a hundred things 0 i don't know <b>how *-1 to do</b> *t*-2 on it *t*-3.	"###speakera63.###i think 0 that's about my favorite.###speakerb64.###i've heard that people that *t*-1 finally learn how * to use it *t*-2 really like it.###speakera65.###uh-huh.###speakerb66.###that's great.###speakera67.###it really is *?*,"	how	how *-1 to do *t*-2 on it *t*-3	and i know 0 there's still a hundred things 0 i don't know  	.	I know there's still a hundred things I don't know how I <b>should</b> do on it.	I know there's still a hundred things I don't know how I <b>could</b> do on it.
118700:62	"we, we don't know, half the time we don't know <b>who *-1 to support</b> *t*-2."	"###well, what *ich*-2 do you know *t*-1 about latin american policies?###speakerb2.###well, i think 0 they're kind of ambivalent, really.###uh, i just have a feeling that we've kind of talked out of both sides of mouths down there like we do in some other situations you know.###speakera3.###uh-huh.###speakerb4.###speakera5.###huh. are you, uh, relating this, uh, to the, uh, affair 0 we've got *t*-1 going on in haiti right now?###speakerb6."	who	who *-1 to support *t*-2	"we, we don't know, half the time we don't know  "	.	Half the time we don't know who we <b>should</b> support.	Half the time we don't know who we <b>could</b> support.
122899:21	"well, i don't know <b>what * to do *t*-1 about the federal budget</b>."	"###uh-huh.###speakerb80.###but you just don't think about them.###speakera81.###right.###speakerb82.###and that's true.###i think, uh, you know,###we've gotten different programs at work, you know, *-2 to, to, uh, make it *exp*-1 visible to management that we are doing things better,###speakera1."	what	what * to do *t*-1 about the federal budget	"well, i don't know  "	.	"Well, I don't know what I <b>should</b> do about the federal budget."	"Well, I don't know what I <b>could</b> do about the federal budget."
133807:16	i don't know <b>how else * to explain it</b> *t*-1.	"###was it not washable paint?###speakera55.###well, it, it is a latex paint,###but it just kind of is, is,### so, you know, so it's supposed *-1 to wash,###you're supposed *-2 to be able *-3 to wash it###speakerb56.###uh-huh.###speakera57.###but it, um, just looks dingy."	how	how else * to explain it *t*-1	i don't know  	.	I don't know how else I <b>should</b> explain it.	I don't know how else I <b>could</b> explain it.
