TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
74357:139	"i think, 0 especially in the younger years you need *-1 to have more of the, the person contact rather than just the fact that your machine being fed *-2 information 0 * to, to learn <b>how * to learn</b> *t*-3 *t*-4."	"###speakera82.###huh.###speakerb83.###and, you know, the whole electronic classroom idea.###speakera84.###speakerb85.###i don't know if i i'm in favor yeah, in favor of, yeah,###speakera86.###i don't think 0 that's going *-1 to work.###speakerb87."	how	how * to learn *t*-3	"i think, 0 especially in the younger years you need *-1 to have more of the, the person contact rather than just the fact that your machine being fed *-2 information 0 * to, to learn  *t*-4 "	.	"I think, especially in the younger years you need to have more of the, the person contact rather than just the fact that your machine being fed information to, to learn how it <b>should</b> learn."	"I think, especially in the younger years you need to have more of the, the person contact rather than just the fact that your machine being fed information to, to learn how it <b>could</b> learn."
148793:49	"do you, uh, did you take classes *-2 to learn <b>how * to do that</b> *t*-1?"	"###* give it away as gifts.###speakerb68.###uh-huh.###speakera69.###but, making my own furniture.###speakerb70.###yeah.###speakera71.###speakerb72.###oh, that's interesting."	how	how * to do that *t*-1	"do you, uh, did you take classes *-2 to learn  "	?	Did you take classes to learn how you <b>should</b> to do that?	Did you take classes to learn how you <b>could</b> to do that?
112423:40	"but i would, i would not really know <b>how * to go about *-1 selecting one nowadays</b> *t*-2."	"###no.###uh, m-, my daughter that *t*-1 has three stays home with her children,###speakerb14.###oh, that's nice.###speakera15.###and one of my daughters has one###but an aunt keeps the baby.###speakerb16.###oh, that's nice.###speakera17."	how	how * to go about *-1 selecting one nowadays *t*-2	but i would  i would not really know  	","	I would not really know how I <b>should</b> go about selecting one nowadays.	I would not really know how I <b>could</b> go about selecting one nowadays.
55459:18	and i haven't figured <b>how *-1 to get that soft</b> *t*-2.	"###i can't say that i really enjoy it.###i wish that i did enjoy it more,###but i do it because i have *-1 to *?* not because i want *-2 to *?*.###speakerb8.###i bought a stationary bike,###but i find that if i sit on that seat too long, it hurts.###speakera9.###yeah,###yeah.###speakerb10."	how	how *-1 to get that soft *t*-2	and i haven't figured  	","	I haven't figured how I <b>should</b> get that soft.	I haven't figured how I <b>could</b> get that soft.
61475:34	"i mean, you know, they know exactly <b>how * to get that attention</b> *t*-1, you know."	"###oh.###speakera121.###that,###and, uh, most dogs do that.###i mean,###speakerb122.###yeah,###they do.###speakera123.###i don't know any that *t*-1 really don't."	how	how * to get that attention *t*-1	i mean  you know  they know exactly   you know 	","	"I mean, you know, they know exactly how they <b>should</b> get that attention, you know."	"I mean, you know, they know exactly how they <b>could</b> get that attention, you know."
90180:32	"so you worked, you learned <b>how * to solve your problems on your own</b> *t*-1."	"###speakera24.###uh-huh.###speakerb25.###it's interesting, because i'm convinced 0 i have the same learning disability, or had, that *t*-1 was ignored *-2.###speakera26.###oh.###speakerb27.###and,###speakera28.###right,"	how	how * to solve your problems on your own *t*-1	"so you worked, you learned  "	.	You learned how you <b>should</b> solve your problems on your own.	You learned how you <b>could</b> solve your problems on your own.
176749:52	"we don't, we, we weren't sure <b>how * to do that</b> *t*-1"	"### that, that was fairly large undertaking.### a, a, it's a bedroom and a walk-in closet and a bathroom all on one side of the house.###speakera5.###* did the framing and all?###speakerb6.###oh, we did it all except for the sheetrocking.###speakera7.###huh.###speakerb8.###that was the only thing 0 we didn't, you know, * putting the ceiling up and things like that"	how	how * to do that *t*-1	"w  don't, w , w  w r n't sur "	e	We weren't sure how we <b>should</b> do that.	We weren't sure how we <b>could</b> do that.
9927:18:00	but they don't know <b>how * to act yet</b> *t*-1.	"###speakerb10.###yeah.###speakera11.###and the people in the city were saying, well why should i go *-1 do that *t*-2.###* make the government do that,###that's not my job.###speakerb12.###right,###they've got a lot of adjustments 0 * to make *t*-1 with *-3 coming out of what they've been through *t*-2 now,###and, uh, they've been, they've been under, under the oppression that they've been under *t*-1 for so long that now 0 they have some freedoms"	how	how * to act yet *t*-1	but they don't know  	.	They don't know how they <b>should</b> act yet.	They don't know how they <b>could</b> act yet.
4531:36:00	and more and more people start *-2 believing them or wondering <b>how * to combine them with other things</b> *t*-1.	"###speakera24.###and, part of it is 0 california, you know, in, back in the sixties, had a lot of alternative movements###speakerb98.###speakera99.###and some of them fizzled out###and some of them were disastrous###and others of them, um, had an impact on the society around here.###and one of the ones that *t*-1 had an impact was, uh, people becoming interested in alternate practices,###i'm not sure if it was a meditation practice, or if it was, you know, which *t*-1 is similar to a stress management practice or alternates to, uh, AMA approved medicine.###uh, you have, you know, major, um, acupuncture schools and things out here.### and, and you could have them around long enough"	how	how * to combine them with other things *t*-1	and more and more people start *-2 believing them or wondering  	","	More and more people start believing them or wondering how they <b>should</b> combine them with other things.	More and more people start believing them or wondering how they <b>could</b> combine them with other things.
148810:76	"oh, i would, i really would love *-1 to go *-3 take a class in woodworking and learn <b>how * to</b> *t*-2."	"###speakerb76.###oh, so yours is mostly just a hobby, too, then.###speakera77.###yeah.###speakerb78.###oh.###speakera79.###yeah.###speakerb80.###well, that is interesting."	how	how * to *?* *t*-2	"oh, i would, i really would love *-1 to go *-3 take a class in woodworking and learn  "	.	"I would, I really would love to go take a class in woodworking and learn how I <b>should</b>."	"I would, I really would love to go take a class in woodworking and learn how I <b>could</b>."
115127:13	"i read, <b>how * to get the job that you wanted</b> *t*-1 *t*-2"	"###speakerb81.###uh-huh.###i see.###speakera82.###but, uh, i think 0 once you're set *-1 in your ways, you're set *-2 in your ways.###speakerb83.###yeah.###speakera84.###uh, then i,###one in-, real interesting book 0 i read *t*-1 recently was, when i was looking for a job *t*-2,"	how	how * to get the job that you wanted *t*-1 *t*-2	i read 	","	"I read, how you <b>should</b> get the job that you wanted."	"I read, how you <b>could</b> get the job that you wanted."
172447:43	"the old-timers, even the people who *t*-1 are technologists don't know <b>how *-2 to operate these electronic things like VCRs and whatnot</b> *t*-3"	"###speakerb46.###huh.###speakera47.###uh, so i let my son do it###and, uh, of course, you know, there's, uh, there's an intellectual evolution taking place where,###speakerb48.###yeah.###speakera49.###it's sort of a joke###but it's really true,"	how	how *-2 to operate these electronic things like VCRs and whatnot *t*-3	"the old-timers, even the people  ho *t*-1 are technologists don't kno "	w	"The old-timers, even the people who are technologists don't know how they <b>should</b> operate these electronic things like VCRs and whatnot."	"The old-timers, even the people who are technologists don't know how they <b>could</b> operate these electronic things like VCRs and whatnot"
