TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
28106:159	"and so they're getting, they get the socialization with other kids, and, you know, and not really school, but, but a different authority than mom, once in a while, you know, kind of *-2 learning <b>how * to deal with society</b> *t*-1."	"###i mean, you figure 0 there's got *-1 to be more to life than * sitting here playing with this child.###speakera50.###yeah,### it's, it's great while they're really little,###but as they get older and they're more independent, and there's things 0 * to do *t*-1, then it *exp*-2's good for them to go to different,###speakerb51.###uh-huh.###speakera52.###i mean, it, he goes to a, a mother's day out program now once a week.###both of my kids do,"	how	how * to deal with society *t*-1	"and so they're getting, they get the socialization with other kids, and, you know, and not really school, but, but a different authority than mom, once in a while, you know, kind of *-2 learning  "	.	"They get the socialization with other kids, and, you know, and not really school, but, but a different authority than mom, once in a while, you know, kind of learning how they <b>should</b> deal with society."	"They get the socialization with other kids, and, you know, and not really school, but, but a different authority than mom, once in a while, you know, kind of learning how they <b>could</b> deal with society."
142180:37	"well, you need *-1 to, uh, teach them <b>how * to play</b> *t*-2 and take them out on the course with you."	###speakera45.###but i###speakerb46.###oh well that sounds like fun too.###speakera47.###but my golf clubs will probably rust before i get *-1 to use them again###because my boys are still right at the beginning age###and it is probably going *-1 to be six to eight years before they go to college.###speakerb48.###uh-huh.	how	how * to play *t*-2	"well, you need *-1 to, uh, teach them  and take them out on the course with you "	.	"Well, you need to, uh, teach them how they <b>should</b> play and take them out on the course with you."	"Well, you need to, uh, teach them how they <b>could</b> play and take them out on the course with you."
48296:72	"um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know <b>how *-2 to handle one</b> *t*-3,"	"###or, you know, i can't think of *-1 ever hearing on the news or whatnot or hearing or knowing anybody who *t*-2 was being robbed *-3###but good thing 0 they had their gun on them###and they, they thwarted the robbery attempt.###speakerb26.###yeah,### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28."	how	how *-2 to handle one *t*-3	um  and i don't think 0 i probably ever would *?*  um  although i would like *-1 to know  	","	"I don't think I probably ever would, um, although I would like to know how I <b>should</b> handle one."	"I don't think I probably ever would, um, although I would like to know how I <b>could</b> handle one."
154107:34	i don't know how * to- <b>how * to describe it</b> *t*-1	"### i've had, i had access *ich*-1 in the past to, uh, uh, the a p news wire###and i thought 0 that was that was pretty a pretty good way 0 * to get news *t*-1.###uh, i've never used the dow jones news wire###but, uh,###yeah###it, uh,### do you get any, uh, do you read any news magazines or anything like that for sort of like a broader, like more long term analytical sort of approach?###speakerb18.###uh, well actually not.###uh, i do, uh, follow, uh, uh, uh,"	how	how * to how * to describe it *t*-1	i don't kno 	w	I don't know how to- how I <b>should</b> describe it.	I don't know how to- how I <b>could</b> describe it.
150716:46	and i could play again on it because after a while you just learn <b>how * to rehabilitate yourself to play that way</b> *t*-1.	"###uh-huh.###yeah,### i did, i injured mine so many times that rehabilitating became quite easy.###speakera63.###oh.###speakerb64.###speakera65.###oh, mumblex.###speakerb66.###i mean, it would only take three or four days"	how	how * to rehabilitate yourself to play that way *t*-1	and i could play again on it because after a while you just learn  	.	I could play again on it because after a while you just learn how you <b>should</b> rehabilitate yourself to play that way.	I could play again on it because after a while you just learn how you <b>could</b> rehabilitate yourself to play that way.
45147:85	"and it really scared me, really bad. because i thought all these people are going *-1 to laugh at me because i don't know <b>how * to work this machine</b> *t*-3."	"###well###sure it is *?*.###speakera121.###now that's bad.###and i mean i was out of school.###i was a married person.###speakerb122.###uh-huh.###speakera123.###and, uh, i didn't know how *-2 to work the machine, you know *t*-1."	how	how * to work this machine *t*-3	"and it really scared me, really bad  because i thought all these people are going *-1 to laugh at me because i don't know  "	.	I thought all these people are going to laugh at me because I don't know how I <b>should</b> work this machine.	I thought all these people are going to laugh at me because I don't know how I <b>could</b> work this machine.
153527:76	"i don't want *-1 to be responsible for it because you know if you're not going *-2 to teach me <b>how * to do it</b> *t*-4 and if i am not going *-3 to, you know, be responsible enough * to go out and learn, i don't need it."	"###and, uh, my dad gave me a gun###speakera55.###uh-huh.###speakerb56.###but i never did go out and practice with it enough * to feel comfortable with it###speakera57.###uh-huh.###speakerb58.###so i finally ended up *-1 giving it back to him.###i said i don't want it."	how	how * to do it *t*-4	"i don't want *-1 to be responsible for it because you know if you're not going *-2 to teach me  and if i am not going *-3 to, you know, be responsible enough * to go out and learn, i don't need it "	.	"If you're not going to teach me how I <b>should</b> do it and if I am not going to, you know, be responsible enough to go out and learn, I don't need it."	"If you're not going to teach me how I <b>could</b> do it and if I am not going to, you know, be responsible enough to go out and learn, I don't need it."
105552:54	"it's just a problem that p-, no one is sure just <b>how * to handle</b> *t*-2 *t*-1 i think 0 *t*-3."	"###speakera57.###oh, yes.###speakerb58.###speakera59.###uh-huh.###speakerb60.###speakera61.###that's right.###speakerb62.###and, uh,, i don't know,"	how	just how * to handle *t*-2 *t*-1	"it's just a problem that p-, no one is sure  i think 0 *t*-3 "	.	"It's just a problem that p-, no one is sure just how they <b>should</b> handle I think."	"It's just a problem that p-, no one is sure just how they <b>could</b> handle I think."
48297:67	"and i think 0 it's good that everyb-, and i think 0 everybody should learn <b>how *-2 to handle one</b> *t*-3."	"###but good thing 0 they had their gun on them###and they, they thwarted the robbery attempt.###speakerb26.###yeah,### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28.###um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,"	how	how *-2 to handle one *t*-3	"and i think 0 it's good that everyb-, and i think 0 everybody should learn  "	.	I think everybody should learn how they <b>should</b> handle one.	I think everybody should learn how they <b>could</b> handle one.
36140:45	"and, uh, it helped me out because i learned things and learned <b>how *-1 to do things differently</b> *t*-2."	"###speakerb128.###yeah.###speakera129.###well, as a substitute teacher for a year, i, i can say yes.###speakerb130.###yeah,###i mean, i talked with somebody else about that another time,###and, you know, when i's in graduate school *-1 working on my master's degree in math *t*-2, i was, uh, teaching as part of my, part of the program.###and i just love *-1 teaching.### that was a lot, that's probably the most fun 0 i had *t*-1."	how	how *-1 to do things differently *t*-2	"and, uh, it helped me out because i learned things and learned  "	.	It helped me out because I learned things and learned how I <b>should</b> do things differently.	It helped me out because I learned things and learned how I <b>could</b> do things differently.
13907:24	i think 0 it teaches kids <b>how * to grow</b> *t*-1.	"### i, i, you know, i think that we have a bunch of elderly folks in the country that *t*-1 could use some help###and i think that before we expend all our young talent overseas and, and *-1 helping other countries we ought *-2 to perhaps give a little bit of our help to our own folks at home###and i'm not sure that that's not a bad idea###speakerb7.###that's true.###speakera8.### and, or the military for a year or two, wouldn't be bad for,###speakerb9.###yeah.###speakera10."	how	how * to grow *t*-1	i think 0 it teaches kids  	.	I think it teaches kids how they <b>should</b> grow.	I think it teaches kids how they <b>could</b> grow.
