TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
161808:39	"well, actually, i, i've known <b>how * to sail</b> *t*-1 pretty much my whole life."	"###like those catamarans are pretty fast.###speakerb72.###yeah,###what,###speakera73.###you can actually,###speakerb74.###* do, if you get one like that do have somebody teach you that###or they just,###speakera75."	how	how * to sail *t*-1	"well, actually, i, i've known  pretty much my whole life "	.	I've known how I <b>should</b> sail pretty much my whole life.	I've known how I <b>could</b> sail pretty much my whole life.
49496:23	"well, i kind of know <b>how * to drive standard</b> *t*-1"	"###and that's, that's a lot###it shouldn't go out that much.###speakera38.###huh-uh.###speakerb39.###and so i went ahead and bought another standard when i bought the honda *t*-1###but i don't think 0 i'm going *-1 to do that again.###i think 0 i'm going back to automatic now.###speakera40.###well, i never,"	how	how * to drive standard *t*-1	" ell, i kind of kno "	w	"Well, I kind of know how I <b>should</b> drive standard."	"Well, I kind of know how I <b>could</b> drive standard."
88496:36	my nine year old i've decided *-1 to teach her <b>how * to type * using the computer</b> *t*-2.	"###speakera109.###yeah.###speakerb110.###i'm,###and they just talked to the other day other day about * setting something up again###so hopefully pretty soon we'll at least have the word processing.###speakera111.###uh-huh.###yeah.###speakerb112."	how	how * to type * using the computer *t*-2	my nine year old i've decided *-1 to teach her  	","	I've decided to teach her how she <b>should</b> type using the computer.	I've decided to teach her how she <b>could</b> type using the computer.
48325:64	"and my, really my only experience with a gun was * shooting a pistol and not knowing <b>how *-1 to hold it right</b> *t*-2"	"###how about that.###speakerb36.###and he lived in massachusetts and had *-1 to get rid *-2 of all his guns,###speakera37.###huh.###speakerb38.###so we ended up, uh, with these guns,###speakera39.###uh-huh.###speakerb40."	how	how *-1 to hold it right *t*-2	"and my, really my only experience with a  un was * shootin  a pistol and not knowin "	g	Really my only experience with a gun was shooting a pistol and not knowing how I <b>should</b> hold it right.	Really my only experience with a gun was shooting a pistol and not knowing how I <b>could</b> hold it right.
47381:11	"men know <b>how *-1 to do that</b> *t*-2, right?"	"###i don't care if you're president.###speakerb10.###yeah,###but at the same time, i don't know,###it *exp*-1's pretty far * to throw that far.###i couldn't do it.###speakera11.###i know###but he's a man###* come on,"	how	how *-1 to do that *t*-2	"men know , right "	?	"Men know how they <b>should</b> do that, right?"	"Men know how they <b>could</b> do that, right?"
153560:105	"i thought well you know. i don't want it if i don't know how * to oper-, you know, if i don't really know <b>how * to use it</b> *t*-1"	"###uh-huh.###speakera71.###speakerb72.###* set them off.###speakera73.### and, and, well i mean, you, you basically made it *exp*-1 clear to the person that you know unless he, unless, you know that you are a real danger to them###and then you know if you, if they manage *-1 to get the gun from you, you know their first reaction is going *-2 to be you know, * stop you.###speakerb74.###yeah,###well that's why i ended up *-1 giving it back to him *t*-2."	how	how * to use it *t*-1	"i thought  ell you kno . i don't  ant it if i don't kno  ho  * to oper-, you kno , if i don't really kno "	w	"I don't want it if I don't know how to oper-, you know, if I don't really know how I <b>should</b> use it."	"I don't want it if I don't know how to oper-, you know, if I don't really know how I <b>could</b> use it."
86649:33	"i took my kids out and taught them out, <b>how * to shoot a gun</b> *t*-1."	"###speakerb98.###i don't,###and i enjoyed my guns.###speakera99.###yeah.###speakerb100.###i have a good time with them###so,###speakera101.###well i know what, uh,"	how	how * to shoot a gun *t*-1	"i took my kids out and taught them out,  "	.	"I took my kids out and taught them out, how they <b>should</b> shoot a gun."	"I took my kids out and taught them out, how they <b>could</b> shoot a gun."
54041:35	"and, and i don't even know <b>how * to knit</b> *t*-1."	"###speakerb38.###no.###not at all.###speakera39.###yeah.###i don't even know how * to knit *t*-1###and my mother used *-1 to knit, you know, all the time###speakerb40.###uh-huh.###speakera41."	how	how * to knit *t*-1	and  and i don't even know  	","	I don't even know how I <b>should</b> knit.	I don't even know how I <b>could</b> knit.
42922:16	and he showed me <b>how * to use his guns</b> *t*-1	"###yeah.###speakera187.###he's in here somewhere,###i know 0 he is *?*.###speakerb188.###right.###speakera189.###yeah.###well, i know how * to use one *t*-1.### we, we go *-1 hunting every once in a while"	how	how * to use his guns *t*-1	and h  show d m 	e	He showed me how I <b>should</b> use his guns.	He showed me how I <b>could</b> use his guns.
34142:42	"even after you wait your nine days, if you don't know <b>how * to handle it</b> *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3."	"###i think that, that the gun clubs serve a useful purpose.###in fact, i'd like *-1 to see 0 somehow they tie the legislation into not only when you buy a weapon *t*-2 you have * to, uh, show that you've gone to school or gone to some class * to know how * to handle that weapon *t*-3.###speakera67.###that's a good,###i've never thought of that.###speakerb68.###speakera69.###that's a good point.###speakerb70.###and, you know, it, it,"	how	how * to handle it *t*-1	"even after you wait your nine days, if you don't know , it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3 "	.	"If you don't know how you <b>should</b> to handle it, it's just like putting someone in an automobile that doesn't know how to drive."	"If you don't know how you <b>could</b> to handle it, it's just like putting someone in an automobile that doesn't know how to drive."
